7; ./512ED ./ED512/ps2/ 1 0.00382 0.01564 0.02205 0.00214 0.02848 0.02672 0.41832 0.03961 0.44321
Graph Evolution Tool.
Initial Graph: Ring with m = 2
Fitness Function: Epidemic Length
Representation: THADS-N with Operation Densities
Densities: 0.00382 0.01564 0.02205 0.00214 0.02848 0.02672 0.41832 0.03961 0.44321 
Check readme.dat for more information about parameters/output.

Beginning Run 0 of 29
Run  RI  Mean      95% CI      SD        Best    
4    42  161.381   1.97279     31.8132   226.2   
4    43  159.396   2.07607     33.4787   226.2   
4    44  160.384   1.97479     31.8455   226.2   
4    45  161.8     1.96417     31.6742   226.2   
4    46  161.247   2.00012     32.254    226.2   
4    47  159.826   2.03626     32.8368   226.2   
4    48  159.965   2.07542     33.4682   226.2   
4    49  161.033   2.05253     33.0991   226.2   
4    50  160.628   1.98543     32.017    226.2   
4    51  160.634   2.05985     33.2172   226.2   
4    52  160.603   2.01818     32.5452   226.2   
4    53  159.656   2.05717     33.1739   226.2   
4    54  159.926   2.06256     33.2608   226.2   
4    55  158.96    2.07538     33.4675   226.2   
4    56  160.827   2.01357     32.4708   226.2   
4    57  160.539   2.00684     32.3624   226.2   
4    58  161.783   1.9907      32.1021   226.2   
4    59  161.486   2.02307     32.6241   226.2   
4    60  159.539   2.02779     32.7001   226.2   
4    61  159.721   2.02815     32.706    226.2   
4    62  161.189   2.04101     32.9134   226.2   
4    63  160.482   2.05061     33.0681   226.2   
4    64  160.136   2.07871     33.5213   226.2   
4    65  160.484   2.08547     33.6302   226.2   
4    66  162.498   2.02663     32.6814   226.2   
4    67  162.05    2.02065     32.5851   230     
4    68  160.524   2.06339     33.2743   230     
4    69  160.875   2.03776     32.8609   230     
4    70  161.072   2.03771     32.86     230     
4    71  161.071   2.06279     33.2645   230     
4    72  161.3     2.076       33.4776   230     
4    73  160.412   2.04923     33.0458   230     
4    74  160.808   2.04649     33.0017   230     
4    75  161.711   2.05494     33.138    230     
4    76  161.178   2.05647     33.1626   230     
4    77  161.64    2.04626     32.9979   230     
